iso3,Country,status,GDP20,pop2020
PRY,Paraguay,Emerging Market and Developing Economy,11828.4,7.253
QAT,Qatar,Emerging Market and Developing Economy,86941.04,2.802
ROU,Romania,Emerging Market and Developing Economy,28515.48,19.404
RUS,Russian Federation,Emerging Market and Developing Economy,25916.48,146.812
RWA,Rwanda,Emerging Market and Developing Economy,2263.53,12.665
SAU,Saudi Arabia,Emerging Market and Developing Economy,43777.35,34.764
SDN,Sudan,Emerging Market and Developing Economy,3547.18,44.345
SEN,Senegal,Emerging Market and Developing Economy,3276.07,16.771
SGP,Singapore,Advanced Economy,90447.36,5.77
SLB,Solomon Islands,Emerging Market and Developing Economy,2310.38,0.655
SLE,Sierra Leone,Emerging Market and Developing Economy,1618.58,7.984
SLV,El Salvador,Emerging Market and Developing Economy,7947.99,6.486
SRB,Serbia,Emerging Market and Developing Economy,17824.23,6.936
SUR,Suriname,Emerging Market and Developing Economy,13817.38,0.604
SVK,Slovakia,Advanced Economy,30448.59,5.458
SVN,Slovenia,Advanced Economy,36429.8,2.069
SWE,Sweden,Advanced Economy,49646.44,10.51
SWZ,Swaziland,Emerging Market and Developing Economy,8472.2,1.127
SYC,Seychelles,Emerging Market and Developing Economy,24964.86,0.097
TCD,Chad,Emerging Market and Developing Economy,1530.53,16.426
TGO,Togo,Emerging Market and Developing Economy,1551.15,8.285
THA,Thailand,Emerging Market and Developing Economy,17098.17,69.8
TJK,Tajikistan,Emerging Market and Developing Economy,3367.56,9.475
TKM,Turkmenistan,Emerging Market and Developing Economy,15809.78,5.944
TLS,Timor-Leste,Emerging Market and Developing Economy,3814.07,1.318
TON,Tonga,Emerging Market and Developing Economy,5746.48,0.1
TTO,Trinidad and Tobago,Emerging Market and Developing Economy,24564.12,1.403
TUN,Tunisia,Emerging Market and Developing Economy,9821.78,11.903
TUR,Turkey,Emerging Market and Developing Economy,26767.71,84.174
TZA,United Rep. of Tanzania,Emerging Market and Developing Economy,2696.89,58.001
UGA,Uganda,Emerging Market and Developing Economy,2445.8,41.222
UKR,Ukraine,Emerging Market and Developing Economy,12024.9,41.536
URY,Uruguay,Emerging Market and Developing Economy,20187.4,3.531
USA,United States of America,Major Advanced Economy,59651.0,330.005
UZB,Uzbekistan,Emerging Market and Developing Economy,6980.11,33.906
VEN,Bolivarian Rep. of Venezuela,Emerging Market and Developing Economy,5259.27,27.951
VNM,Viet Nam,Emerging Market and Developing Economy,10174.53,97.384
VUT,Vanuatu,Emerging Market and Developing Economy,2506.18,0.3
YEM,Yemen,Emerging Market and Developing Economy,1826.98,32.471
ZAF,South Africa,Emerging Market and Developing Economy,11269.06,59.671
ZMB,Zambia,Emerging Market and Developing Economy,3124.2,18.882
ZWE,Zimbabwe,Emerging Market and Developing Economy,2443.71,15.189
