Rank,Country,WorldRiskIndex,Exposure,Vulnerability,Susceptibility,Lack of Coping Capacities,Lack of Adaptive Capacities
66,Comoros, 7.44 , 10.97 , 67.78 , 58.61 , 83.96 , 60.77 
67,Panama, 7.43 , 16.45 , 45.15 , 27.74 , 67.52 , 40.19 
68,Congo, 7.40 , 11.65 , 63.56 , 53.03 , 85.96 , 51.70 
69,Rwanda, 7.35 , 11.98 , 61.32 , 55.14 , 79.58 , 49.24 
70,Serbia, 7.23 , 18.05 , 40.04 , 18.55 , 66.78 , 34.79 
71,Tajikistan, 7.16 , 12.98 , 55.15 , 35.12 , 76.41 , 53.92 
72,Greece, 7.11 , 21.11 , 33.71 , 17.40 , 51.31 , 32.42 
73,Pakistan, 7.11 , 11.36 , 62.54 , 37.04 , 86.71 , 63.88 
74,Lesotho, 7.03 , 11.40 , 61.69 , 49.64 , 79.55 , 55.87 
75,India, 7.00 , 11.94 , 58.62 , 38.22 , 80.47 , 57.17 
76,Kenya, 6.94 , 10.69 , 64.95 , 54.20 , 85.82 , 54.82 
77,Peru, 6.91 , 14.40 , 48.02 , 29.05 , 73.84 , 41.18 
78,Morocco, 6.87 , 13.25 , 51.86 , 28.12 , 75.84 , 51.62 
79,Central African Republic, 6.81 , 9.39 , 72.50 , 62.25 , 89.63 , 65.61 
80,China, 6.81 , 14.43 , 47.18 , 26.43 , 70.41 , 44.69 
81,Colombia, 6.76 , 13.84 , 48.84 , 28.32 , 75.95 , 42.27 
82,Uganda, 6.66 , 10.16 , 65.53 , 55.81 , 87.67 , 53.10 
83,Turkmenistan, 6.65 , 13.19 , 50.37 , 25.92 , 75.86 , 49.34 
84,Georgia, 6.64 , 14.69 , 45.21 , 25.85 , 64.21 , 45.58 
85,Belize, 6.60 , 13.31 , 49.57 , 27.91 , 74.16 , 46.63 
86,Angola, 6.57 , 10.18 , 64.55 , 52.03 , 85.52 , 56.09 
87,Armenia, 6.49 , 14.51 , 44.75 , 21.55 , 71.04 , 41.65 
88,Romania, 6.47 , 15.77 , 41.06 , 21.46 , 61.54 , 40.17 
89,Malaysia, 6.47 , 14.60 , 44.27 , 19.85 , 68.17 , 44.80 
90,Cuba, 6.35 , 17.45 , 36.37 , 18.63 , 57.20 , 33.28 
91,Thailand, 6.35 , 13.70 , 46.34 , 20.30 , 75.62 , 43.09 
92,Eritrea, 6.32 , 8.55 , 73.98 , 62.71 , 88.31 , 70.92 
93,Bosnia and Herzegovina, 6.31 , 14.02 , 44.99 , 19.55 , 70.65 , 44.75 
94,Mexico, 6.25 , 13.84 , 45.14 , 23.57 , 71.86 , 39.99 
95,Gabon, 6.14 , 11.95 , 51.36 , 33.04 , 75.73 , 45.30 
96,Republic of Macedonia, 6.12 , 14.38 , 42.53 , 20.63 , 64.65 , 42.32 
97,Yemen, 6.01 , 9.04 , 66.46 , 46.30 , 90.24 , 62.85 
98,Venezuela, 5.99 , 13.15 , 45.56 , 23.35 , 74.79 , 38.55 
99,Azerbaijan, 5.99 , 13.16 , 45.49 , 21.96 , 69.84 , 44.68 
100,Lao People’s Democ . Rep ., 5.69 , 9.55 , 59.60 , 40.85 , 84.89 , 53.06 
101,Syrian Arab Republic, 5.64 , 10.56 , 53.44 , 26.33 , 83.39 , 50.59 
102,Tunisia, 5.62 , 12.45 , 45.19 , 21.43 , 72.54 , 41.60 
103,South Africa, 5.62 , 12.08 , 46.52 , 30.35 , 69.33 , 39.88 
104,Namibia, 5.59 , 10.41 , 53.75 , 46.04 , 71.05 , 44.16 
105,Hungary, 5.55 , 15.61 , 35.56 , 16.31 , 53.56 , 36.80 
106,Turkey, 5.42 , 12.25 , 44.26 , 19.83 , 68.57 , 44.37 
107,Nepal, 5.37 , 9.16 , 58.67 , 42.61 , 81.27 , 52.13 
108,Botswana, 5.32 , 10.55 , 50.40 , 35.53 , 67.72 , 47.94 
109,Lebanon, 5.02 , 11.14 , 45.11 , 20.72 , 69.91 , 44.69 
110,Republic of Moldova, 4.98 , 11.11 , 44.77 , 23.08 , 68.09 , 43.13 
111,Bolivia, 4.93 , 8.98 , 54.92 , 40.28 , 79.71 , 44.78 
112,Iran (Islamic Republic of), 4.87 , 10.19 , 47.78 , 19.19 , 80.35 , 43.81 
113,"Korea, Republic of", 4.80 , 14.89 , 32.25 , 14.52 , 46.52 , 35.73 
114,Iraq, 4.77 , 8.08 , 59.05 , 32.05 , 89.09 , 56.00 
115,Jordan, 4.76 , 10.53 , 45.17 , 22.77 , 68.18 , 44.55 
116,Italy, 4.63 , 13.85 , 33.40 , 16.81 , 54.98 , 28.40 
117,Equatorial Guinea, 4.56 , 8.22 , 55.52 , 29.87 , 85.08 , 51.60 
118,Ireland, 4.56 , 14.74 , 30.91 , 15.78 , 45.51 , 31.43 
119,New Zealand, 4.42 , 15.44 , 28.66 , 16.42 , 43.33 , 26.21 
120,Bulgaria, 4.34 , 11.66 , 37.19 , 18.14 , 57.02 , 36.42 
121,Australia, 4.24 , 15.05 , 28.19 , 15.05 , 42.04 , 27.48 
122,Brazil, 4.23 , 9.53 , 44.43 , 24.80 , 67.17 , 41.32 
123,Croatia, 4.21 , 11.53 , 36.52 , 17.75 , 56.69 , 35.13 
124,Bahamas, 4.14 , 10.71 , 38.67 , 18.14 , 53.99 , 43.87 
125,Uruguay, 4.03 , 11.10 , 36.33 , 20.66 , 50.78 , 37.55 
126,United States, 3.90 , 12.25 , 31.81 , 16.53 , 48.56 , 30.36 
127,Libyan Arab Jamahiriya, 3.89 , 7.80 , 49.93 , 25.01 , 75.81 , 48.97 
128,Russia, 3.78 , 9.38 , 40.28 , 21.35 , 59.07 , 40.41 
129,Kazakhstan, 3.74 , 9.11 , 41.03 , 18.08 , 62.69 , 42.33 
130,Paraguay, 3.71 , 7.03 , 52.79 , 31.02 , 78.87 , 48.49 
131,Argentina, 3.69 , 9.55 , 38.59 , 21.36 , 59.72 , 34.70 
132,Portugal, 3.65 , 10.93 , 33.37 , 17.56 , 48.10 , 34.45 
133,Austria, 3.63 , 13.60 , 26.65 , 14.26 , 36.81 , 28.88 
134,Slovenia, 3.62 , 11.59 , 31.25 , 14.97 , 50.87 , 27.92 
135,United Kingdom, 3.60 , 11.60 , 31.08 , 16.46 , 46.82 , 29.95 
136,Slovakia, 3.56 , 10.21 , 34.85 , 14.25 , 55.25 , 35.05 
137,Czech Republic, 3.52 , 10.82 , 32.50 , 14.87 , 50.32 , 32.31 
138,Kuwait, 3.46 , 9.04 , 38.24 , 12.02 , 64.93 , 37.77 
139,Latvia, 3.43 , 9.26 , 37.10 , 20.76 , 55.43 , 35.11 
140,Poland, 3.35 , 9.79 , 34.22 , 17.22 , 53.72 , 31.71 
141,Belgium, 3.33 , 11.66 , 28.54 , 15.60 , 40.40 , 29.64 
142,Spain, 3.23 , 10.23 , 31.53 , 15.95 , 50.00 , 28.65 
143,Belarus, 3.19 , 8.46 , 37.68 , 16.77 , 60.92 , 35.33 
144,Canada, 3.13 , 10.25 , 30.55 , 14.85 , 45.91 , 30.90 
145,Ukraine, 3.10 , 7.50 , 41.34 , 19.00 , 61.99 , 43.03 
146,Germany, 3.09 , 11.41 , 27.13 , 15.11 , 37.69 , 28.57 
147,Mongolia, 3.08 , 6.52 , 47.17 , 32.32 , 65.48 , 43.73 
148,Lithuania, 3.06 , 8.88 , 34.49 , 18.99 , 50.36 , 34.13 
149,Denmark, 2.99 , 10.87 , 27.54 , 14.92 , 39.47 , 28.23 
150,Cyprus, 2.76 , 7.44 , 37.04 , 14.46 , 57.74 , 38.91 
151,France, 2.73 , 9.25 , 29.47 , 16.17 , 43.22 , 29.03 
152,Oman, 2.72 , 6.41 , 42.37 , 16.44 , 63.53 , 47.14 
153,Seychelles, 2.56 , 5.99 , 42.77 , 21.60 , 63.23 , 43.47 
154,Luxembourg, 2.55 , 9.12 , 27.95 , 12.32 , 41.17 , 30.36 
155,Switzerland, 2.50 , 9.56 , 26.19 , 14.37 , 37.60 , 26.60 
156,Estonia, 2.45 , 7.23 , 33.83 , 18.01 , 51.38 , 32.10 
157,Israel, 2.40 , 6.41 , 37.42 , 19.08 , 58.65 , 34.54 
158,Singapore, 2.36 , 7.82 , 30.14 , 14.16 , 48.83 , 27.43 
159,Egypt, 2.30 , 4.72 , 48.75 , 21.62 , 76.91 , 47.72 
160,Norway, 2.29 , 8.58 , 26.64 , 14.04 , 39.08 , 26.78 
161,Finland, 2.25 , 8.19 , 27.43 , 15.45 , 38.99 , 27.86 
162,Sweden, 2.19 , 7.97 , 27.47 , 15.08 , 40.36 , 26.96 
163,United Arab Emirates, 1.98 , 5.93 , 33.37 , 10.39 , 56.29 , 33.44 
164,Bahrain, 1.77 , 4.27 , 41.41 , 13.28 , 65.68 , 45.28 
165,Kiribati, 1.76 , 3.05 , 57.69 , 42.18 , 83.19 , 47.69 
166,Iceland, 1.54 , 5.67 , 27.19 , 14.68 , 41.67 , 25.23 
167,Grenada, 1.44 , 3.13 , 46.12 , 24.86 , 69.20 , 44.28 
168,Barbados, 1.21 , 3.46 , 34.99 , 16.53 , 49.96 , 38.49 
169,Saudi Arabia, 1.21 , 2.93 , 41.14 , 16.08 , 68.49 , 38.85 
170,Malta, 0.61 , 1.65 , 37.10 , 15.03 , 57.10 , 39.17 
171,Qatar, 0.09 , 0.28 , 32.25 , 9.36 , 49.03 , 38.36 
