Rank,Country,WorldRiskIndex,Exposure,Vulnerability,Susceptibility,Lack of Coping Capacities,Lack of Adaptive Capacities
33,Benin, 11.46 , 17.50 , 65.48 , 55.20 , 60.03 , 81.20 
34,Burkina Faso, 11.19 , 16.54 , 67.67 , 57.63 , 61.16 , 84.22 
35,Honduras, 11.02 , 20.25 , 54.43 , 32.11 , 46.45 , 84.74 
36,Togo, 10.97 , 16.59 , 66.11 , 55.74 , 56.25 , 86.34 
37,Mali, 10.76 , 15.68 , 68.65 , 49.90 , 67.34 , 88.70 
38,Madagascar, 10.51 , 15.12 , 69.48 , 65.68 , 56.21 , 86.55 
39,Angola, 10.40 , 15.74 , 66.10 , 53.29 , 58.21 , 86.80 
40,Indonesia, 10.39 , 20.97 , 49.54 , 26.03 , 44.56 , 78.02 
40,Kenya, 10.39 , 16.47 , 63.10 , 52.14 , 50.89 , 86.28 
42,Burundi, 10.34 , 14.74 , 70.14 , 62.20 , 57.53 , 90.68 
43,Viet Nam, 10.30 , 22.02 , 46.76 , 23.88 , 39.78 , 76.63 
44,Cote d'Ivoire, 10.00 , 15.54 , 64.33 , 47.57 , 59.76 , 85.65 
45,Senegal, 9.74 , 16.51 , 58.97 , 44.37 , 54.45 , 78.09 
46,Japan, 9.64 , 38.67 , 24.93 , 17.76 , 17.83 , 39.20 
47,Trinidad and Tobago, 9.60 , 23.39 , 41.05 , 24.17 , 34.57 , 64.42 
48,Sierra Leone, 9.44 , 13.69 , 68.99 , 55.80 , 65.60 , 85.57 
49,Liberia, 9.43 , 13.56 , 69.52 , 56.27 , 65.02 , 87.26 
50,Ghana, 9.37 , 16.38 , 57.18 , 42.64 , 49.75 , 79.15 
51,Zimbabwe, 9.32 , 14.62 , 63.76 , 54.37 , 48.15 , 88.76 
52,Mozambique, 9.18 , 13.31 , 68.97 , 62.61 , 56.44 , 87.85 
53,Mauritius, 9.17 , 23.84 , 38.47 , 17.46 , 38.56 , 59.40 
54,United Rep. of Tanzania, 8.96 , 14.01 , 63.95 , 56.78 , 51.68 , 83.38 
55,Malawi, 8.89 , 13.22 , 67.24 , 59.28 , 57.80 , 84.65 
56,Democratic Rep. of Congo, 8.77 , 11.80 , 74.28 , 67.78 , 62.12 , 92.95 
57,Afghanistan, 8.69 , 12.99 , 66.93 , 49.10 , 59.61 , 92.09 
58,Uganda, 8.63 , 12.82 , 67.29 , 62.55 , 51.34 , 87.98 
59,Guinea, 8.62 , 12.70 , 67.88 , 51.48 , 63.34 , 88.82 
60,Albania, 8.46 , 20.14 , 42.00 , 20.03 , 30.97 , 74.99 
61,Sudan, 8.45 , 13.13 , 64.39 , 45.14 , 56.21 , 91.82 
62,Ecuador, 8.42 , 17.96 , 46.88 , 25.16 , 39.53 , 75.96 
63,Panama, 7.96 , 18.03 , 44.13 , 23.85 , 36.29 , 72.25 
64,Belize, 7.95 , 16.82 , 47.24 , 27.94 , 40.26 , 73.53 
65,Netherlands, 7.89 , 31.72 , 24.87 , 14.80 , 17.19 , 42.63 
66,Bolivarian Rep. of Venezuela, 7.88 , 16.12 , 48.90 , 25.50 , 35.27 , 85.94 
67,Mauritania, 7.85 , 12.55 , 62.51 , 38.87 , 61.51 , 87.15 
68,Ethiopia, 7.82 , 11.68 , 66.93 , 56.77 , 57.49 , 86.52 
68,Uzbekistan, 7.82 , 16.17 , 48.39 , 29.48 , 39.87 , 75.83 
70,Zambia, 7.81 , 12.15 , 64.30 , 61.54 , 47.92 , 83.44 
71,Central African Republic, 7.79 , 10.20 , 76.34 , 70.83 , 67.32 , 90.88 
72,Malaysia, 7.71 , 19.05 , 40.46 , 16.90 , 33.59 , 70.89 
73,Fed. States of Micronesia, 7.59 , 14.95 , 50.77 , 31.79 , 48.39 , 72.13 
74,Sri Lanka, 7.57 , 15.99 , 47.32 , 22.82 , 41.83 , 77.30 
75,Rwanda, 7.56 , 12.30 , 61.50 , 52.28 , 52.38 , 79.85 
76,Algeria, 7.55 , 16.51 , 45.75 , 20.97 , 39.30 , 76.97 
77,Suriname, 7.40 , 15.41 , 48.04 , 28.66 , 42.50 , 72.96 
78,Kyrgyzstan, 7.30 , 16.46 , 44.33 , 25.23 , 32.14 , 75.63 
79,Equatorial Guinea, 7.26 , 12.77 , 56.83 , 40.48 , 43.64 , 86.37 
80,Greece, 7.25 , 22.89 , 31.66 , 17.15 , 17.04 , 60.79 
81,Myanmar, 7.18 , 12.96 , 55.39 , 28.97 , 51.38 , 85.82 
82,Montenegro, 6.93 , 18.12 , 38.24 , 18.71 , 27.59 , 68.42 
83,Republic of Congo, 6.81 , 10.65 , 63.91 , 53.92 , 49.24 , 88.58 
84,Eritrea, 6.77 , 9.65 , 70.17 , 61.46 , 59.53 , 89.51 
85,Gabon, 6.73 , 13.00 , 51.74 , 32.07 , 47.28 , 75.88 
86,Lesotho, 6.71 , 11.16 , 60.17 , 44.48 , 54.23 , 81.79 
87,Pakistan, 6.68 , 11.74 , 56.89 , 33.13 , 52.73 , 84.81 
88,Colombia, 6.65 , 14.65 , 45.38 , 22.73 , 35.97 , 77.45 
89,India, 6.62 , 12.51 , 52.94 , 32.08 , 48.60 , 78.15 
90,Thailand, 6.54 , 14.81 , 44.13 , 17.52 , 36.25 , 78.63 
91,Swaziland, 6.42 , 11.12 , 57.72 , 41.73 , 48.38 , 83.05 
92,Peru, 6.37 , 14.14 , 45.08 , 26.39 , 32.83 , 76.03 
92,South Africa, 6.37 , 13.37 , 47.65 , 30.75 , 39.38 , 72.82 
94,Namibia, 6.21 , 11.36 , 54.66 , 42.50 , 47.36 , 74.13 
95,Syrian Arab Republic, 6.03 , 10.80 , 55.87 , 27.47 , 49.13 , 91.02 
96,Iraq, 5.99 , 10.78 , 55.59 , 26.60 , 52.44 , 87.72 
97,Mexico, 5.97 , 14.09 , 42.39 , 20.96 , 32.30 , 73.91 
98,Samoa, 5.87 , 12.19 , 48.13 , 25.40 , 39.33 , 79.66 
99,Romania, 5.86 , 15.41 , 38.03 , 19.49 , 30.00 , 64.60 
100,Cuba, 5.84 , 16.53 , 35.34 , 19.48 , 32.86 , 53.67 
100,China, 5.84 , 14.30 , 40.85 , 20.98 , 29.50 , 72.07 
102,Tajikistan, 5.83 , 11.99 , 48.63 , 32.00 , 36.81 , 77.09 
103,Morocco, 5.82 , 12.14 , 47.91 , 24.70 , 40.00 , 79.02 
104,North Macedonia, 5.81 , 14.48 , 40.12 , 18.88 , 31.25 , 70.23 
105,Armenia, 5.73 , 14.55 , 39.37 , 20.21 , 28.67 , 69.22 
106,Azerbaijan, 5.72 , 14.31 , 39.98 , 17.80 , 30.71 , 71.43 
106,Georgia, 5.72 , 14.58 , 39.23 , 22.56 , 31.36 , 63.77 
108,Tunisia, 5.70 , 13.06 , 43.67 , 17.73 , 37.82 , 75.46 
109,Yemen, 5.68 , 8.13 , 69.87 , 46.10 , 69.72 , 93.80 
110,Turkmenistan, 5.66 , 12.25 , 46.22 , 27.29 , 38.18 , 73.18 
111,Seychelles, 5.31 , 12.53 , 42.39 , 18.07 , 41.97 , 67.13 
112,Lebanon, 5.27 , 11.43 , 46.08 , 20.31 , 38.95 , 78.98 
113,Serbia, 5.25 , 13.41 , 39.17 , 22.01 , 27.71 , 67.80 
114,New Zealand, 5.11 , 17.73 , 28.81 , 16.16 , 21.70 , 48.57 
115,Hungary, 5.07 , 15.24 , 33.28 , 16.01 , 25.19 , 58.65 
116,Islamic Republic of Iran, 5.03 , 10.96 , 45.85 , 19.78 , 34.53 , 83.24 
116,Turkey, 5.03 , 12.29 , 40.96 , 18.17 , 31.80 , 72.92 
118,Brazil, 4.91 , 11.33 , 43.33 , 22.57 , 31.14 , 76.28 
119,Bosnia and Herzegovina, 4.80 , 11.18 , 42.95 , 18.65 , 35.95 , 74.24 
120,Plurinational State of Bolivia, 4.78 , 9.56 , 50.01 , 32.36 , 37.71 , 79.97 
121,Nepal, 4.77 , 8.62 , 55.28 , 33.70 , 48.81 , 83.34 
122,Italy, 4.75 , 15.17 , 31.29 , 17.25 , 17.41 , 59.22 
123,Saint Lucia, 4.70 , 10.24 , 45.88 , 24.22 , 37.74 , 75.67 
124,Australia, 4.54 , 18.08 , 25.10 , 15.61 , 16.17 , 43.53 
125,Ireland, 4.50 , 16.68 , 26.96 , 15.74 , 17.64 , 47.49 
126,Kuwait, 4.48 , 12.43 , 36.01 , 13.04 , 24.63 , 70.36 
127,Lao People’s Democratic Rep., 4.47 , 8.02 , 55.76 , 33.26 , 51.23 , 82.79 
128,Bahamas, 4.38 , 11.77 , 37.25 , 18.24 , 35.07 , 58.45 
129,Botswana, 4.20 , 8.82 , 47.59 , 31.46 , 39.35 , 71.97 
130,Bulgaria, 4.17 , 11.88 , 35.12 , 21.18 , 24.81 , 59.38 
131,Croatia, 4.13 , 12.11 , 34.14 , 17.06 , 22.46 , 62.91 
131,Jordan, 4.13 , 9.18 , 45.04 , 23.57 , 43.28 , 68.27 
133,Republic of Moldova, 4.04 , 9.59 , 42.10 , 22.96 , 34.36 , 68.98 
134,United States of America, 3.90 , 12.99 , 30.06 , 15.97 , 21.67 , 52.54 
135,Portugal, 3.66 , 11.62 , 31.54 , 16.76 , 23.17 , 54.68 
136,Spain, 3.61 , 11.74 , 30.77 , 16.07 , 18.82 , 57.42 
137,Kazakhstan, 3.58 , 9.54 , 37.54 , 17.09 , 28.92 , 66.62 
138,Russian Federation, 3.55 , 9.59 , 37.04 , 18.43 , 27.80 , 64.88 
139,Argentina, 3.50 , 9.55 , 36.70 , 20.78 , 30.41 , 58.91 
140,United Kingdom, 3.46 , 12.58 , 27.53 , 16.42 , 19.09 , 47.07 
141,Libyan Arab Jamahiriya, 3.41 , 7.38 , 46.23 , 21.93 , 34.25 , 82.50 
141,Slovenia, 3.41 , 11.39 , 29.91 , 14.72 , 19.27 , 55.73 
143,Paraguay, 3.38 , 7.04 , 47.99 , 24.04 , 40.79 , 79.15 
144,Slovakia, 3.37 , 10.10 , 33.33 , 14.54 , 24.66 , 60.79 
145,United Arab Emirates, 3.30 , 10.99 , 30.01 , 9.55 , 25.86 , 54.61 
146,Republic of Korea, 3.14 , 11.32 , 27.74 , 13.52 , 20.29 , 49.41 
147,Austria, 3.06 , 13.19 , 23.18 , 14.08 , 15.35 , 40.10 
148,Poland, 3.04 , 9.45 , 32.14 , 15.34 , 22.27 , 58.82 
149,Czech Republic, 3.00 , 10.77 , 27.89 , 14.77 , 20.83 , 48.08 
150,Cyprus, 2.99 , 8.42 , 35.57 , 15.15 , 24.40 , 67.16 
150,Latvia, 2.99 , 8.81 , 33.90 , 18.60 , 23.48 , 59.63 
152,Bhutan, 2.97 , 6.27 , 47.40 , 24.17 , 45.20 , 72.82 
152,Mongolia, 2.97 , 6.89 , 43.15 , 28.40 , 35.62 , 65.43 
154,Israel, 2.95 , 8.35 , 35.27 , 18.54 , 22.57 , 64.70 
155,Bahrain, 2.91 , 7.33 , 39.64 , 15.57 , 27.36 , 76.00 
156,Canada, 2.79 , 10.36 , 26.89 , 15.17 , 18.77 , 46.73 
157,Oman, 2.76 , 6.70 , 41.18 , 22.49 , 34.48 , 66.58 
158,Ukraine, 2.75 , 6.91 , 39.76 , 19.65 , 32.19 , 67.43 
159,Denmark, 2.74 , 11.85 , 23.12 , 14.91 , 15.31 , 39.13 
160,Belarus, 2.67 , 7.96 , 33.50 , 16.49 , 25.33 , 58.67 
161,Belgium, 2.66 , 11.38 , 23.37 , 14.79 , 14.59 , 40.74 
162,Germany, 2.63 , 11.52 , 22.81 , 14.98 , 16.08 , 37.36 
163,Sao Tome and Principe, 2.58 , 4.55 , 56.74 , 46.44 , 47.13 , 76.64 
164,Singapore, 2.57 , 8.87 , 28.97 , 11.29 , 21.60 , 54.03 
165,Norway, 2.52 , 10.83 , 23.25 , 13.92 , 17.34 , 38.49 
166,Luxembourg, 2.50 , 9.56 , 26.18 , 12.40 , 20.03 , 46.10 
167,France, 2.47 , 9.62 , 25.66 , 16.61 , 16.22 , 44.14 
168,Lithuania, 2.26 , 7.37 , 30.71 , 17.98 , 21.04 , 53.11 
169,Sweden, 2.20 , 8.82 , 24.96 , 15.60 , 18.08 , 41.19 
170,Switzerland, 2.15 , 9.01 , 23.90 , 13.91 , 19.32 , 38.46 
171,Maldives, 2.12 , 4.77 , 44.40 , 17.45 , 39.23 , 76.51 
172,Estonia, 2.03 , 6.52 , 31.11 , 16.44 , 21.68 , 55.21 
173,Finland, 1.96 , 8.22 , 23.80 , 15.66 , 15.93 , 39.81 
174,Egypt, 1.78 , 3.72 , 47.98 , 22.01 , 39.54 , 82.39 
175,Iceland, 1.69 , 7.12 , 23.79 , 14.10 , 14.94 , 42.32 
176,Barbados, 1.39 , 3.66 , 37.94 , 20.56 , 32.65 , 60.62 
177,Saudi Arabia, 1.04 , 2.89 , 36.07 , 13.62 , 26.57 , 68.03 
178,Grenada, 0.97 , 2.21 , 43.80 , 26.83 , 35.67 , 68.90 
179,St. Vincent and the Grenadines, 0.81 , 1.85 , 43.79 , 28.20 , 31.39 , 71.77 
180,Malta, 0.66 , 2.26 , 29.01 , 14.91 , 20.44 , 51.67 
181,Qatar, 0.31 , 0.91 , 34.33 , 8.32 , 30.08 , 64.58 
