Rank,Country,WorldRiskIndex,Exposure,Vulnerability,Susceptibility,Lack of Coping Capacities,Lack of Adaptive Capacities
76,Samoa, 6.71 , 14.12 , 47.53 , 26.28 , 72.11 , 44.19 
77,Serbia, 6.68 , 17.91 , 37.30 , 20.12 , 64.13 , 27.64 
78,Greece, 6.56 , 23.06 , 28.46 , 17.65 , 50.71 , 17.03 
79,Congo, 6.52 , 10.19 , 63.95 , 53.74 , 86.97 , 51.12 
80,Gabon, 6.52 , 12.56 , 51.88 , 33.45 , 74.64 , 47.56 
81,Peru, 6.45 , 14.55 , 44.34 , 26.43 , 73.00 , 33.60 
82,Malaysia, 6.44 , 16.35 , 39.41 , 17.95 , 67.06 , 33.23 
83,Central African Republic, 6.44 , 8.42 , 76.47 , 70.00 , 90.68 , 68.73 
84,Yemen, 6.43 , 9.26 , 69.42 , 44.86 , 92.28 , 71.13 
85,Colombia, 6.42 , 14.63 , 43.86 , 24.10 , 72.76 , 34.71 
86,Turkmenistan, 6.20 , 13.53 , 45.86 , 28.42 , 70.90 , 38.25 
87,Morocco, 6.13 , 12.87 , 47.67 , 26.55 , 74.75 , 41.70 
88,Thailand, 6.12 , 14.22 , 43.04 , 18.91 , 74.81 , 35.39 
89,Pakistan, 6.11 , 10.70 , 57.11 , 33.62 , 84.24 , 53.46 
90,Cuba, 6.06 , 17.27 , 35.09 , 20.73 , 53.45 , 31.09 
91,Armenia, 6.06 , 15.13 , 40.03 , 20.52 , 70.41 , 29.16 
92,Mexico, 5.88 , 13.99 , 41.99 , 21.54 , 72.65 , 31.76 
93,Tajikistan, 5.85 , 11.97 , 48.88 , 33.41 , 77.22 , 36.02 
94,Swaziland, 5.85 , 9.99 , 58.59 , 43.94 , 81.20 , 50.63 
95,China, 5.80 , 14.52 , 39.98 , 23.02 , 68.05 , 28.89 
96,Namibia, 5.79 , 11.33 , 51.14 , 45.08 , 70.05 , 38.30 
97,South Africa, 5.75 , 12.39 , 46.42 , 32.07 , 70.25 , 36.95 
98,Eritrea, 5.62 , 7.77 , 72.38 , 67.61 , 89.07 , 60.46 
99,The former Yugoslav Republic of Macedonia, 5.59 , 14.36 , 38.92 , 20.11 , 65.32 , 31.32 
100,Syrian Arab Republic, 5.53 , 9.98 , 55.39 , 28.60 , 87.57 , 49.99 
101,Georgia, 5.47 , 14.15 , 38.63 , 24.17 , 60.12 , 31.61 
102,Romania, 5.46 , 15.37 , 35.52 , 18.50 , 57.90 , 30.18 
103,Azerbaijan, 5.46 , 14.31 , 38.15 , 17.92 , 69.09 , 27.45 
104,Nepal, 5.44 , 9.53 , 57.10 , 36.39 , 84.07 , 50.85 
105,Tunisia, 5.41 , 12.55 , 43.08 , 21.21 , 71.09 , 36.95 
106,Lao People's Democratic Republic, 5.30 , 9.30 , 56.94 , 33.97 , 82.07 , 54.77 
107,Equatorial Guinea, 5.13 , 8.97 , 57.18 , 41.22 , 85.13 , 45.20 
108,Hungary, 5.01 , 15.63 , 32.07 , 16.23 , 55.66 , 24.31 
109,Botswana, 4.94 , 10.39 , 47.56 , 36.99 , 67.51 , 38.17 
110,Iraq, 4.93 , 8.72 , 56.55 , 29.16 , 87.89 , 52.61 
111,Lebanon, 4.75 , 10.90 , 43.54 , 19.67 , 72.67 , 38.30 
112,Turkey, 4.73 , 11.74 , 40.33 , 18.33 , 70.74 , 31.92 
113,New Zealand, 4.71 , 17.76 , 26.50 , 16.18 , 42.60 , 20.70 
114,Bosnia and Herzegovina, 4.67 , 11.40 , 41.01 , 18.81 , 69.15 , 35.07 
115,Seychelles, 4.59 , 11.64 , 39.44 , 18.22 , 60.88 , 39.22 
116,Bolivia, 4.58 , 9.02 , 50.80 , 34.76 , 79.38 , 38.26 
117,Jordan, 4.41 , 10.00 , 44.12 , 22.65 , 66.81 , 42.89 
118,Australia, 4.41 , 17.81 , 24.77 , 15.66 , 41.94 , 16.72 
119,Bahamas, 4.34 , 12.12 , 35.78 , 18.97 , 55.14 , 33.24 
120,Iran (Islamic Republic of), 4.28 , 9.82 , 43.55 , 19.64 , 76.51 , 34.50 
121,Brazil, 4.25 , 10.38 , 40.93 , 22.56 , 69.17 , 31.06 
122,Italy, 4.12 , 14.51 , 28.39 , 17.05 , 52.82 , 15.31 
123,Bulgaria, 4.09 , 12.30 , 33.21 , 20.94 , 54.59 , 24.10 
124,Ireland, 4.06 , 15.76 , 25.77 , 15.58 , 44.97 , 16.75 
125,Republic of Moldova, 3.84 , 9.18 , 41.85 , 23.76 , 67.31 , 34.48 
126,"Korea, Republic of", 3.82 , 14.86 , 25.68 , 13.72 , 45.10 , 18.22 
127,Libyan Arab Jamahiriya, 3.66 , 7.91 , 46.30 , 22.38 , 77.54 , 38.97 
128,Croatia, 3.59 , 11.51 , 31.21 , 17.26 , 54.82 , 21.56 
129,Kazakhstan, 3.50 , 9.61 , 36.36 , 17.81 , 62.50 , 28.76 
130,Russia, 3.42 , 9.53 , 35.90 , 18.98 , 61.05 , 27.67 
131,United States, 3.42 , 12.15 , 28.16 , 16.18 , 48.65 , 19.64 
132,Kuwait, 3.39 , 9.74 , 34.84 , 13.06 , 64.79 , 26.67 
133,Uruguay, 3.36 , 10.06 , 33.42 , 19.50 , 50.59 , 30.17 
134,Paraguay, 3.35 , 7.13 , 46.97 , 25.30 , 77.20 , 38.41 
135,Argentina, 3.32 , 9.30 , 35.74 , 20.54 , 56.70 , 29.97 
136,United Kingdom, 3.31 , 12.39 , 26.68 , 16.33 , 46.02 , 17.68 
137,Slovenia, 3.23 , 11.97 , 26.98 , 15.15 , 49.24 , 16.53 
138,Portugal, 3.13 , 11.08 , 28.21 , 17.15 , 45.91 , 21.57 
139,Slovakia, 3.11 , 10.12 , 30.69 , 14.85 , 53.73 , 23.48 
140,Czech Republic, 3.10 , 11.16 , 27.80 , 15.13 , 48.92 , 19.34 
141,United Arab Emirates, 2.99 , 9.50 , 31.51 , 9.58 , 56.01 , 28.93 
142,Poland, 2.94 , 9.73 , 30.15 , 16.14 , 53.06 , 21.26 
143,Austria, 2.92 , 13.91 , 20.97 , 14.41 , 35.16 , 13.33 
144,Latvia, 2.90 , 9.08 , 31.99 , 18.55 , 52.87 , 24.54 
145,Ukraine, 2.90 , 7.63 , 37.98 , 19.00 , 62.71 , 32.24 
146,Spain, 2.80 , 9.97 , 28.12 , 16.45 , 51.64 , 16.27 
147,Belarus, 2.77 , 8.36 , 33.13 , 17.20 , 56.74 , 25.44 
148,Belgium, 2.77 , 11.41 , 24.24 , 15.05 , 42.40 , 15.26 
149,Bahrain, 2.73 , 7.24 , 37.65 , 15.57 , 69.61 , 27.76 
150,Oman, 2.69 , 6.62 , 40.67 , 22.66 , 65.14 , 34.21 
151,Denmark, 2.68 , 11.52 , 23.23 , 15.14 , 40.34 , 14.23 
152,Canada, 2.63 , 10.43 , 25.18 , 15.48 , 44.33 , 15.74 
153,Cyprus, 2.53 , 7.89 , 32.11 , 15.44 , 57.77 , 23.12 
154,Mongolia, 2.46 , 5.82 , 42.26 , 29.29 , 63.22 , 34.27 
155,Germany, 2.42 , 11.31 , 21.36 , 15.09 , 35.38 , 13.60 
156,Lithuania, 2.38 , 8.23 , 28.88 , 18.21 , 47.32 , 21.11 
157,France, 2.34 , 9.48 , 24.66 , 16.94 , 43.22 , 13.83 
158,Singapore, 2.31 , 8.56 , 26.98 , 11.89 , 47.73 , 21.31 
159,Norway, 2.29 , 10.30 , 22.21 , 14.20 , 37.59 , 14.84 
160,Estonia, 2.25 , 7.61 , 29.56 , 17.05 , 50.04 , 21.60 
161,Switzerland, 2.23 , 9.87 , 22.62 , 14.03 , 37.16 , 16.66 
162,Israel, 2.20 , 6.76 , 32.55 , 19.07 , 58.00 , 20.57 
163,Sweden, 2.19 , 9.02 , 24.33 , 15.88 , 41.41 , 15.71 
164,Luxembourg, 2.16 , 9.27 , 23.33 , 12.13 , 40.95 , 16.91 
165,Finland, 2.06 , 8.55 , 24.06 , 15.81 , 40.90 , 15.46 
166,Egypt, 1.90 , 3.93 , 48.32 , 22.21 , 80.85 , 41.89 
167,Iceland, 1.61 , 6.75 , 23.87 , 14.14 , 41.88 , 15.58 
168,Barbados, 1.40 , 4.03 , 34.69 , 20.59 , 51.88 , 31.59 
169,Grenada, 1.39 , 3.27 , 42.70 , 27.39 , 63.87 , 36.83 
170,Saudi Arabia, 1.25 , 3.55 , 35.09 , 13.25 , 64.63 , 27.37 
171,Malta, 0.57 , 1.84 , 31.02 , 15.07 , 57.65 , 20.35 
172,Qatar, 0.36 , 1.02 , 35.48 , 8.26 , 59.07 , 39.13 
